	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
110	106155	No	Alimony or Other Spousal Support (HUD)		7/26/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/26/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
111	313400	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
112	260878	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
113	409235	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/17/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
114	407019	No	Alimony or Other Spousal Support (HUD)		8/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
115	169422	No	Alimony or Other Spousal Support (HUD)		8/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/21/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
116	409236	No	Alimony or Other Spousal Support (HUD)		8/19/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/19/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
117	65851	No	Alimony or Other Spousal Support (HUD)		7/24/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/24/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
118	409062	No	Alimony or Other Spousal Support (HUD)		8/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/16/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
119	167279	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		8/24/2015		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
120	373731	No	Alimony or Other Spousal Support (HUD)		7/22/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/22/2014		Urban Ministries of Durham - Durham County(1562)
121	378313	No	Alimony or Other Spousal Support (HUD)		7/11/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		7/11/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
122	103533	No	Alimony or Other Spousal Support (HUD)		7/13/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/13/2015		Urban Ministries of Durham - Durham County(1562)
