	Client ID	Receiving Income (Entry)	Income Source (Entry)	Monthly Amount (Entry)	Income Start Date (Entry)	Income End Date (Entry)	Provider (140-provider)_x	ReceivingIncome (Exit)	Source of Income (Exit)	Monthly Amount (Exit)	Income Start Date (Exit)	Income End Date (Exit)	Provider (140-provider)_y
533	424404	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
534	197176	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
535	368111	No	Alimony or Other Spousal Support (HUD)		7/1/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/1/2014		Urban Ministries of Durham - Durham County(1562)
536	423096	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
537	423095	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
538	423094	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
539	424403	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
540	424809	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
541	67984	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
542	424810	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
543	311921	No	Alimony or Other Spousal Support (HUD)		3/19/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/19/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
544	167032	No	Alimony or Other Spousal Support (HUD)		3/19/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/19/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
545	424997	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
546	266721	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
547	26790	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
548	154359	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
549	424996	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/21/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
550	323040	No	Alimony or Other Spousal Support (HUD)		3/22/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/22/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
551	154406	No	Alimony or Other Spousal Support (HUD)		3/23/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/23/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
552	430778	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/17/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
553	425348	No	Alimony or Other Spousal Support (HUD)		3/26/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/26/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
554	346593	No	Alimony or Other Spousal Support (HUD)		3/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
555	425365	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
556	425364	No	Alimony or Other Spousal Support (HUD)		3/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
557	352986	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
558	425453	No	Alimony or Other Spousal Support (HUD)		3/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
559	390305	No	Alimony or Other Spousal Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		1/12/2015		Urban Ministries of Durham - Durham County(1562)
560	254693	No	Alimony or Other Spousal Support (HUD)		8/12/2011		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		8/12/2011		Urban Ministries of Durham - Durham County(1562)
561	425710	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
562	185515	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/28/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
563	373473	No	Alimony or Other Spousal Support (HUD)		7/20/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		7/20/2014		Urban Ministries of Durham - Durham County(1562)
564	425706	No	Alimony or Other Spousal Support (HUD)		4/1/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/1/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
565	403186	No	Alimony or Other Spousal Support (HUD)		4/3/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/3/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
566	110192	No	Alimony or Other Spousal Support (HUD)		2/4/2016		XXXCLOSED_Mecklenburg County - Mecklenburg County -  Coordinated Assessment(5691)	No	Alimony or Other Spousal Support (HUD)		2/4/2016		XXXCLOSED_Mecklenburg County - Mecklenburg County -  Coordinated Assessment(5691)
567	352684	No	Alimony or Other Spousal Support (HUD)		3/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
568	415399	No	Alimony or Other Spousal Support (HUD)		3/30/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/30/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
569	321918	No	Alimony or Other Spousal Support (HUD)		3/31/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		3/31/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
570	425704	No	Alimony or Other Spousal Support (HUD)		4/1/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/1/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
571	419667	No	Alimony or Other Spousal Support (HUD)		4/3/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/3/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
572	425828	No	Alimony or Other Spousal Support (HUD)		4/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
573	153324	No	Alimony or Other Spousal Support (HUD)		4/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
574	425912	No	Alimony or Other Spousal Support (HUD)		4/5/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/5/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
575	217339	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
576	256529	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
577	425991	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/6/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
578	426181	No	Alimony or Other Spousal Support (HUD)		4/8/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/8/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
579	227678	No	Alimony or Other Spousal Support (HUD)		4/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
580	426180	No	Alimony or Other Spousal Support (HUD)		4/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
581	285483	No	Alimony or Other Spousal Support (HUD)		4/8/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/8/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
582	133240	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
583	421596	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
584	426303	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
585	426299	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
586	108279	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
587	426298	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
588	109426	No	Alimony or Other Spousal Support (HUD)		8/3/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)	No	Alimony or Other Spousal Support (HUD)		8/3/2015		XXXClosed2015 Urban Ministries of Durham- Durham County- Journey Entry- ESG(1970)
589	154785	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
590	261739	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
591	174801	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
592	426300	No	Alimony or Other Spousal Support (HUD)		4/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
593	426301	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
594	426413	No	Alimony or Other Spousal Support (HUD)		4/12/2016		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		4/12/2016		Urban Ministries of Durham - Durham County(1562)
595	426508	No	Alimony or Other Spousal Support (HUD)		4/13/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/13/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
596	426506	No	Alimony or Other Spousal Support (HUD)		4/13/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/13/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
597	343041	No	Alimony or Other Spousal Support (HUD)		4/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
598	427141	No	Alimony or Other Spousal Support (HUD)		4/5/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/5/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
599	427138	No	Alimony or Other Spousal Support (HUD)		4/17/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/17/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
600	200387	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/11/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
601	159179	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
602	427140	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
603	427135	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
604	181716	No	Alimony or Other Spousal Support (HUD)		4/21/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/21/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
605	427284	No	Alimony or Other Spousal Support (HUD)		4/25/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/25/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
606	427134	No	Alimony or Other Spousal Support (HUD)		4/21/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/21/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
607	406923	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
608	427359	No	Alimony or Other Spousal Support (HUD)		4/26/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)	No	Alimony or Other Spousal Support (HUD)		4/26/2016		Urban Ministries of Durham - Durham County - Families Emergency Shelter - Private(5837)
609	427360	No	Alimony or Other Spousal Support (HUD)		4/26/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/26/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
610	213769	No	Alimony or Other Spousal Support (HUD)		4/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/14/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
611	427456	No	Alimony or Other Spousal Support (HUD)		4/27/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/27/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
612	427535	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/20/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
613	427639	No	Alimony or Other Spousal Support (HUD)		4/27/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/27/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
614	427640	No	Alimony or Other Spousal Support (HUD)		4/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/25/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
615	157422	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/18/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
616	369309	No	Alimony or Other Spousal Support (HUD)		6/5/2014		Urban Ministries of Durham - Durham County(1562)	No	Alimony or Other Spousal Support (HUD)		6/5/2014		Urban Ministries of Durham - Durham County(1562)
617	427731	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
618	136239	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
619	426608	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
620	373971	No	Alimony or Other Spousal Support (HUD)		5/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/4/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
621	428209	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
622	280617	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
623	344091	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
624	127418	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
625	405331	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
626	159422	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
627	428207	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
628	427733	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
629	428211	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
630	175788	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/9/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
631	346815	No	Alimony or Other Spousal Support (HUD)		5/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
632	193592	No	Alimony or Other Spousal Support (HUD)		4/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		4/29/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
633	188314	No	Alimony or Other Spousal Support (HUD)		5/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/10/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
634	343488	No	Alimony or Other Spousal Support (HUD)		10/3/2013		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		10/3/2013		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
635	67161	No	Alimony or Other Spousal Support (HUD)		5/12/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/12/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
636	418616	No	Alimony or Other Spousal Support (HUD)		5/12/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/12/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
637	428500	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	No	Alimony or Other Spousal Support (HUD)		5/2/2016		Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)
